region_id,lat,lng,state
01,-23.552690099875324,-46.648912263633775,SP
02,-23.483806207466134,-46.64041417555681,SP
03,-23.553850356986967,-46.53871455857954,SP
04,-23.647904165477705,-46.66538392632681,SP
05,-23.569196610001143,-46.73329317246685,SP
06,-23.565646512764467,-46.85222153024242,SP
07,-23.383929158438505,-46.59991207467513,SP
08,-23.536454298216004,-46.35277489075109,SP
09,-23.685952560277936,-46.53249700429505,SP
11,-23.866941580375492,-46.203655589141555,SP
12,-23.007076340300245,-45.68741136604218,SP
13,-22.638236207553042,-47.16490218370053,SP
14,-21.081866810847735,-48.004391288590305,SP
15,-20.83786620439808,-49.60242913338385,SP
16,-21.387772748948922,-50.31127812592887,SP
17,-22.18108747142684,-49.58937009741633,SP
18,-23.21573345438114,-48.04793553990055,SP
19,-22.40494467761165,-50.982184180304365,SP
20,-22.901065092160145,-43.24216557421515,RJ
21,-22.85562819150147,-43.3586551029373,RJ
22,-22.96056636238393,-43.27026503304097,RJ
23,-22.927260281514474,-43.8253808936142,RJ
24,-22.796223538512628,-42.93763771007139,RJ
25,-22.552652013506226,-43.183585110605215,RJ
26,-22.724814260328007,-43.48116574860267,RJ
27,-22.445991887462917,-43.591757209504536,RJ
28,-21.737626195513005,-42.039837385670566,RJ
29,-19.99214822538141,-40.56197231707504,ES
30,-19.93384529976838,-44.02181590517687,MG
31,-19.85047416402292,-43.94929037483913,MG
32,-19.947255636867734,-44.10895288375162,MG
33,-19.814661362337127,-44.00968208193026,MG
34,-19.929341527819926,-43.845907454657855,MG
35,-19.628504922668846,-43.39859403994609,MG
36,-21.094761975816937,-43.20213606044037,MG
37,-21.697373127607833,-45.77483165197415,MG
38,-18.961220289829377,-47.69801165125025,MG
39,-17.115387683871948,-42.92884116073911,MG
40,-12.951282838334295,-38.48950356045097,BA
41,-12.93945687007082,-38.43463534794865,BA
42,-12.763164033724939,-38.424476601616604,BA
43,-12.674344502404823,-38.518802519974386,BA
44,-12.169764076805281,-39.58692753697569,BA
45,-15.045721628215851,-39.92880544079483,BA
46,-13.525368073801943,-41.83188032888731,BA
47,-12.314417850117845,-43.99507781480262,BA
48,-10.789725132655063,-38.89281036537459,BA
49,-10.763904575928951,-37.202264040595665,SE
50,-8.062488749983451,-34.925385119803934,PE
51,-8.116297667397449,-34.92800250989696,PE
52,-8.016869675861887,-34.90896630161992,PE
53,-7.865552977069998,-34.85420298919681,PE
54,-8.114328762257104,-34.992936944609646,PE
55,-8.584603789360417,-36.061611230848015,PE
56,-8.448847625749346,-38.813325657821025,PE
57,-9.758281584340237,-36.438541845838856,AL
58,-7.0902800127610055,-36.20946700689533,PB
59,-5.864063518951828,-36.23748868440971,RN
60,-3.7697100149965386,-38.54204663071045,CE
61,-3.8148171179640396,-38.64668226166609,CE
62,-4.103452520996696,-39.73320283306325,CE
63,-6.694559809901935,-39.39936643424939,CE
64,-6.118471074675446,-42.45857045401535,PI
65,-3.9747315126005516,-44.827609783159744,MA
66,-1.3880557220675949,-48.468545541905755,PA
67,-1.3671477368913698,-48.40241535700005,PA
68,-2.9134575941434164,-50.003811392507295,PA
69,-3.9857397301790196,-62.623510043527574,AM
70,-15.74361306712093,-48.09750280822325,DF
71,-15.841310733730595,-47.95348046799554,DF
72,-15.949137939314314,-48.127751742239866,DF
73,-15.256717953982415,-47.476287841176315,DF
74,-16.702344063615794,-49.28123741443599,GO
75,-17.238148794310128,-49.577881428538944,GO
76,-12.946673020425091,-56.33177761480669,RO
77,-9.406928727632602,-48.295118899642,TO
78,-14.249803824629804,-55.41580789596632,MT
79,-21.03273250139451,-54.58714189562506,MS
80,-25.441882408729523,-49.27762902654244,PR
81,-25.505481579567387,-49.29083196959189,PR
82,-25.409413150131012,-49.25831268882796,PR
83,-24.57570114832767,-48.64260702696786,PR
84,-24.91458160180122,-50.367571206286314,PR
85,-25.258615162972095,-53.07577389622625,PR
86,-23.38467687265064,-51.2510554194289,PR
87,-23.45217100888943,-52.48233209532346,PR
88,-27.80422495416871,-49.13069157279581,SC
89,-26.789430240229194,-50.61853804147615,SC
90,-30.06503740283614,-51.224913532951376,RS
91,-30.073441261387604,-51.15603999753949,RS
92,-29.95159356223743,-51.20671457171943,RS
93,-29.52740102335047,-50.98120665662442,RS
94,-29.987995914041903,-51.03498963219368,RS
95,-29.099746468434834,-50.55353272139488,RS
96,-30.981681851440175,-52.63541098268438,RS
97,-29.57153400819561,-54.91706802700952,RS
98,-28.046789695269545,-53.966049041042226,RS
99,-28.094303826688282,-52.37788376155357,RS
